,usmv,sphb,vix,hold_usmv,hold_sphb,usmv_ret,sphb_ret,total_ret,total_cumret
2021-10-18,73.74268341064453,76.25970458984375,16.309999465942383,1.0,0,0.0014529230349689115,0.0,0.0014529230349689115,5.084883089388647
2021-10-19,74.33596801757812,76.73371887207031,15.699999809265137,1.0,0,0.008045335204712067,0.0,0.008045335204712067,5.1338380135242625
2021-10-20,74.74446868896484,76.91149139404297,15.489999771118164,1.0,0,0.0054953299496971475,0.0,0.0054953299496971475,5.167545477266573
2021-10-21,75.0946044921875,76.94112396240234,15.010000228881836,1.0,0,0.004684437649556061,0.0,0.004684437649556061,5.19643695950563
2021-10-22,75.3960952758789,76.97074890136719,15.430000305175781,1.0,0,0.004014812858129879,0.0,0.004014812858129879,5.221314494285244
2021-10-25,75.49337005615234,77.6225357055664,15.239999771118164,1.0,0,0.001290183263702227,0.0,0.001290183263702227,5.229341130123999
2021-10-26,75.48363494873047,77.44477081298828,15.979999542236328,1.0,0,-0.0001289531440261671,-0.0,-0.0001289531440261671,5.228537837000059
2021-10-27,74.69583129882812,76.31895446777344,16.979999542236328,1.0,0,-0.010436747653149281,-0.0,-0.010436747653149281,5.163532159347197
2021-10-28,75.18213653564453,77.64229583740234,16.530000686645508,1.0,0,0.006510473588156485,0.0,0.006510473588156485,5.20365967268038
2021-10-29,75.42527770996094,77.61266326904297,16.260000228881836,1.0,0,0.0032340285275229697,-0.0,0.0032340285275229697,5.223722485036872
2021-11-01,75.3377456665039,79.08414459228516,16.40999984741211,1.0,0,-0.0011605133731641404,0.0,-0.0011605133731641404,5.216499771862125
2021-11-02,75.73651123046875,79.14339447021484,16.030000686645508,1.0,0,0.00529303817677329,0.0,0.00529303817677329,5.249403942480494
2021-11-03,75.9310302734375,79.68655395507812,15.100000381469727,1.0,0,0.0025683655057311405,0.0,0.0025683655057311405,5.26545469599774
2021-11-04,76.0282974243164,79.97296142578125,15.4399995803833,1.0,0,0.0012809934295456848,0.0,0.0012809934295456848,5.27348070229643
2021-11-05,75.64897918701172,81.43453979492188,16.479999542236328,1.0,0,-0.004989171797280978,0.0,-0.004989171797280978,5.242181229305746
2021-11-08,75.7170639038086,81.65180969238281,17.219999313354492,1.0,0,0.0009000084010197806,0.0,0.0009000084010197806,5.24779924485281
2021-11-09,75.66842651367188,81.15802001953125,17.780000686645508,1.0,0,-0.0006423570543954149,-0.0,-0.0006423570543954149,5.243785926933432
2021-11-10,75.64897918701172,79.21251678466797,18.729999542236328,1.0,0,-0.00025700715022325404,-0.0,-0.00025700715022325404,5.242181229305747
2021-11-11,75.54199981689453,79.90382385253906,17.65999984741211,0.0,1,-0.0,0.008727245338641998,0.008727245338641998,5.296658276342164
2021-11-12,76.01856994628906,80.34822082519531,16.290000915527344,1.0,0,0.006308677696509113,0.0,0.006308677696509113,5.3363818639726635
2021-11-15,76.06719970703125,80.33833312988281,16.489999771118164,1.0,0,0.000639708965540331,-0.0,0.000639708965540331,5.340435304260134
2021-11-16,76.29090881347656,80.70375061035156,16.3700008392334,1.0,0,0.0029409404750919688,0.0,0.0029409404750919688,5.359082147076134
2021-11-17,76.0477523803711,79.86430358886719,17.110000610351562,1.0,0,-0.003187226851628644,-0.0,-0.003187226851628644,5.338814309705261
2021-11-18,75.87267303466797,79.81492614746094,17.59000015258789,1.0,0,-0.0023022290629632902,-0.0,-0.0023022290629632902,5.32422090717673
2021-11-19,75.78514862060547,79.16313934326172,17.90999984741211,1.0,0,-0.0011535696656226335,-0.0,-0.0011535696656226335,5.316925477779514
2021-11-22,75.49337005615234,78.91624450683594,19.170000076293945,1.0,0,-0.0038500757703046062,-0.0,-0.0038500757703046062,5.292604836054696
2021-11-23,75.61006927490234,79.21251678466797,19.3799991607666,0.0,1,0.0,0.0037542622521320457,0.0037542622521320457,5.3162289248582795
2021-11-24,75.79487609863281,79.3310317993164,18.579999923706055,0.0,1,0.0,0.0014961652458362895,0.0014961652458362895,5.325679047060398
2021-11-26,74.87089538574219,75.95355224609375,28.6200008392334,1.0,0,-0.012190543219415484,-0.0,-0.012190543219415484,5.248565583245058
2021-11-29,75.48363494873047,77.4941635131836,22.959999084472656,0.0,1,0.0,0.02028359729770335,0.02028359729770335,5.375308971223889
2021-11-30,73.87884521484375,75.56840515136719,27.190000534057617,0.0,1,-0.0,-0.024850366460034023,-0.024850366460034023,5.216880206993033
2021-12-01,73.37309265136719,73.87966918945312,31.1200008392334,1.0,0,-0.0068457020681063074,-0.0,-0.0068457020681063074,5.174321297302852
2021-12-02,74.6082992553711,75.75604248046875,27.950000762939453,0.0,1,0.0,0.025397694813764637,0.025397694813764637,5.331134825293876
2021-12-03,74.5013198852539,74.3833236694336,30.670000076293945,1.0,0,-0.001433880294617329,-0.0,-0.001433880294617329,5.322056735825322
2021-12-06,75.13349914550781,75.7856674194336,27.18000030517578,1.0,0,0.008485477320772095,0.0,0.008485477320772095,5.375702404877803
2021-12-07,75.91157531738281,78.00768280029297,21.889999389648438,1.0,0,0.01035591554664772,0.0,0.01035591554664772,5.4417286405332765
2021-12-08,76.00885009765625,78.46195983886719,19.899999618530273,1.0,0,0.0012814222319419422,0.0,0.0012814222319419422,5.449983214825393
2021-12-09,75.73651123046875,77.26701354980469,21.579999923706055,1.0,0,-0.003582988912969931,-0.0,-0.003582988912969931,5.426872996477831
2021-12-10,76.5340576171875,77.4941635131836,18.690000534057617,1.0,0,0.010530540339939831,0.0,0.010530540339939831,5.4945514418269115
2021-12-13,76.86579132080078,75.53877258300781,20.309999465942383,1.0,0,0.00433445859191961,-0.0,0.00433445859191961,5.522701806124602
2021-12-14,76.34866333007812,74.99562072753906,21.889999389648438,1.0,0,-0.006727674064583744,-0.0,-0.006727674064583744,5.478819194352524
2021-12-15,77.43169403076172,75.90418243408203,19.290000915527344,1.0,0,0.014185326283989053,0.0,0.014185326283989053,5.570723358559386
2021-12-16,77.54878234863281,74.56108856201172,20.56999969482422,1.0,0,0.0015121497642112125,-0.0,0.0015121497642112125,5.580659276336728
2021-12-17,76.69992065429688,74.57097625732422,21.56999969482422,1.0,0,-0.01094616406121951,0.0,-0.01094616406121951,5.50862630026696
2021-12-20,76.33890533447266,73.20329284667969,22.8700008392334,1.0,0,-0.004706853889085427,-0.0,-0.004706853889085427,5.477991147252945
2021-12-21,76.89505767822266,76.2513656616211,21.010000228881836,0.0,1,0.0,0.04163846592700993,0.04163846592700993,5.747724760913309
2021-12-22,77.44145202636719,76.91442108154297,18.6299991607666,1.0,0,0.007105714783790074,0.0,0.007105714783790074,5.795672168503877
2021-12-23,77.73416137695312,77.72591400146484,17.959999084472656,1.0,0,0.00377975028782096,0.0,0.00377975028782096,5.821358112338717
2021-12-27,78.6123046875,78.99266052246094,17.68000030517578,1.0,0,0.011296749009596097,0.0,0.011296749009596097,5.89841728283838
2021-12-28,78.72938537597656,78.62648010253906,17.540000915527344,1.0,0,0.0014893430353171144,-0.0,0.0014893430353171144,5.908691392573286
2021-12-29,79.07086944580078,78.62648010253906,16.950000762939453,1.0,0,0.004337441073538617,0.0,0.004337441073538617,5.9386574343838365
2021-12-30,79.03184509277344,78.3097915649414,17.329999923706055,1.0,0,-0.0004935364098164197,-0.0,-0.0004935364098164197,5.935232954304725
2021-12-31,78.93428802490234,78.20094299316406,17.219999313354492,1.0,0,-0.001234402002845525,-0.0,-0.001234402002845525,5.926672088855731
2022-01-03,78.44641876220703,79.26974487304688,16.600000381469727,1.0,0,-0.006180701377092257,0.0,-0.006180701377092257,5.883860397137473
2022-01-04,78.1829833984375,80.05155181884766,16.90999984741211,1.0,0,-0.003358156661913081,0.0,-0.003358156661913081,5.860743315485147
2022-01-05,77.24630737304688,77.74571228027344,19.729999542236328,1.0,0,-0.011980561302158521,-0.0,-0.011980561302158521,5.778547759615603
2022-01-06,76.92433166503906,78.41865539550781,19.610000610351562,1.0,0,-0.004168169572855929,0.0,-0.004168169572855929,5.750293623095822
2022-01-07,76.64138793945312,77.92383575439453,18.760000228881836,1.0,0,-0.0036782084349851196,-0.0,-0.0036782084349851196,5.725464636152725
2022-01-10,76.44623565673828,77.4686279296875,19.399999618530273,1.0,0,-0.0025463041309874423,-0.0,-0.0025463041309874423,5.708339557766879
2022-01-11,76.70968627929688,78.96296691894531,18.40999984741211,1.0,0,0.0034462209982653036,0.0,0.0034462209982653036,5.731457978414349
2022-01-12,76.7974853515625,79.12130737304688,17.6200008392334,1.0,0,0.0011445630470441337,0.0,0.0011445630470441337,5.739162556469172
2022-01-13,76.01693725585938,78.16136932373047,20.309999465942383,1.0,0,-0.010163719451619313,-0.0,-0.010163719451619313,5.670667598906362
2022-01-14,75.6949462890625,78.69574737548828,19.190000534057617,1.0,0,-0.004235779267363959,0.0,-0.004235779267363959,5.642412123391438
2022-01-18,74.91438293457031,76.68679809570312,22.790000915527344,1.0,0,-0.010311961270325631,-0.0,-0.010311961270325631,5.573915826833484
2022-01-19,74.82656860351562,75.15287017822266,23.850000381469727,0.0,1,-0.0,-0.02000250311098095,-0.02000250311098095,5.44242105505592
2022-01-20,74.12407684326172,73.72779083251953,25.59000015258789,0.0,1,-0.0,-0.018962407454613417,-0.018962407454613417,5.320257242015769
2022-01-21,73.36302185058594,71.71884155273438,28.850000381469727,0.0,1,-0.0,-0.02724819579022375,-0.02724819579022375,5.148041635240744
2022-01-24,73.69475555419922,72.53034210205078,29.899999618530273,0.0,1,0.0,0.011315025894830022,0.011315025894830022,5.217606885545986
2022-01-25,72.50440979003906,72.04541778564453,31.15999984741211,0.0,1,-0.0,-0.006685813169389987,-0.006685813169389987,5.176037127548512
2022-01-26,71.63602447509766,71.97614288330078,31.959999084472656,0.0,1,-0.0,-0.0009615448764536128,-0.0009615448764536128,5.1700985906917305
2022-01-27,71.61650848388672,70.45211029052734,30.489999771118164,0.0,1,-0.0,-0.02117413536933266,-0.02117413536933266,5.039452087890295
2022-01-28,73.33374786376953,71.48133850097656,27.65999984741211,1.0,0,0.0239782616639177,0.0,0.0239782616639177,5.184267650360423
2022-01-31,74.21187591552734,73.61893463134766,24.829999923706055,1.0,0,0.011974405745484251,0.0,0.011974405745484251,5.258320580444511
