,usmv,sphb,vix,hold_usmv,hold_sphb
2013-12-04,28.98432731628418,25.610082626342773,14.699999809265137,1.0,0
2013-12-05,28.868160247802734,25.46051597595215,15.079999923706055,1.0,0
2013-12-11,28.810073852539062,25.346149444580078,15.420000076293945,1.0,0
2013-12-12,28.64412498474121,25.354942321777344,15.539999961853027,1.0,0
2013-12-13,28.66071128845215,25.45171356201172,15.760000228881836,1.0,0
2013-12-16,28.751983642578125,25.794832229614258,16.030000686645508,1.0,0
2013-12-17,28.64412498474121,25.777233123779297,16.209999084472656,1.0,0
2014-01-24,28.846036911010742,25.811176300048828,18.139999389648438,1.0,0
2014-01-31,28.72917366027832,26.01413345336914,18.40999984741211,1.0,0
2014-02-03,28.111522674560547,25.24641990661621,21.440000534057617,1.0,0
2014-03-13,29.8977108001709,27.0906982421875,16.219999313354492,1.0,0
2014-03-14,29.91439437866211,27.064228057861328,17.81999969482422,1.0,0
2014-04-11,29.580760955810547,26.256759643554688,17.030000686645508,1.0,0
2014-07-17,31.392698287963867,29.093656539916992,14.539999961853027,1.0,0
2014-07-31,30.937368392944336,28.685380935668945,16.950000762939453,1.0,0
2014-08-01,30.937368392944336,28.57888412475586,17.030000686645508,1.0,0
2014-09-15,31.915485382080078,29.848068237304688,14.119999885559082,1.0,0
2014-09-23,31.907062530517578,29.58024024963379,14.930000305175781,1.0,0
2014-09-25,31.789306640625,29.402578353881836,15.640000343322754,1.0,0
2014-09-29,31.967195510864258,29.58911895751953,15.979999542236328,1.0,0
2014-09-30,31.916372299194336,29.464759826660156,16.309999465942383,1.0,0
2014-10-01,31.670738220214844,28.83407211303711,16.709999084472656,1.0,0
2014-10-07,31.68767547607422,28.56757926940918,17.200000762939453,1.0,0
2014-10-09,31.696138381958008,28.309972763061523,18.760000228881836,1.0,0
2014-10-10,31.552154541015625,27.57269859313965,21.239999771118164,1.0,0
2014-10-13,31.2218074798584,26.91535186767578,24.639999389648438,1.0,0
2014-10-15,31.111698150634766,27.057476043701172,25.270000457763672,1.0,0
2014-12-08,34.41515350341797,30.38858413696289,14.210000038146973,1.0,0
2014-12-09,34.330440521240234,30.45077133178711,15.350000381469727,1.0,0
2014-12-10,33.91537094116211,29.793418884277344,18.530000686645508,1.0,0
2014-12-11,34.1186637878418,29.88225746154785,20.079999923706055,1.0,0
2014-12-12,33.678218841552734,29.3226261138916,21.079999923706055,1.0,0
2014-12-16,33.3309211730957,28.771886825561523,23.56999969482422,1.0,0
2015-01-15,34.46205520629883,28.367021560668945,22.389999389648438,1.0,0
2015-05-06,34.97818374633789,31.243412017822266,15.149999618530273,1.0,0
2015-06-08,34.80714416503906,30.725662231445312,15.289999961853027,1.0,0
2015-06-15,34.82425308227539,30.725662231445312,15.390000343322754,1.0,0
2015-06-29,34.614803314208984,29.91339683532715,18.850000381469727,1.0,0
2015-07-08,35.07027053833008,29.07076644897461,19.65999984741211,1.0,0
2015-07-09,35.07027053833008,29.294864654541016,19.969999313354492,1.0,0
2015-08-20,35.97258377075195,27.439287185668945,19.139999389648438,1.0,0
2015-08-21,35.044490814208984,26.524944305419922,28.030000686645508,1.0,0
2015-08-24,33.729671478271484,25.350637435913086,40.7400016784668,1.0,0
2015-11-12,35.57643127441406,27.442964553833008,18.3700008392334,1.0,0
2015-11-13,35.256858825683594,27.316913604736328,20.079999923706055,1.0,0
2015-12-11,35.5505256652832,26.074413299560547,24.389999389648438,1.0,0
2016-01-07,35.329322814941406,24.351741790771484,24.989999771118164,1.0,0
2016-01-08,34.97298812866211,23.953283309936523,27.010000228881836,0.0,1
2016-01-15,34.555824279785156,22.404687881469727,27.020000457763672,0.0,1
2016-01-20,34.25162887573242,21.89754867553711,27.59000015258789,0.0,1
2016-02-11,34.62535095214844,20.95572280883789,28.139999389648438,0.0,1
2016-05-19,38.19810104370117,26.400245666503906,16.329999923706055,1.0,0
2016-06-10,39.35086441040039,27.243091583251953,17.030000686645508,1.0,0
2016-06-13,39.12379837036133,26.971210479736328,20.969999313354492,1.0,0
2016-06-22,39.437076568603516,27.301753997802734,21.170000076293945,1.0,0
2016-06-24,39.07712936401367,26.193330764770508,25.760000228881836,1.0,0
2016-08-24,40.51695251464844,29.191530227661133,13.449999809265137,1.0,0
2016-08-25,40.52573013305664,29.264205932617188,13.630000114440918,1.0,0
2016-08-26,40.332576751708984,29.37323760986328,13.649999618530273,1.0,0
2016-09-09,39.41952896118164,29.227867126464844,17.5,1.0,0
2016-09-13,39.41074752807617,28.96438980102539,17.850000381469727,1.0,0
2016-09-14,39.35807418823242,28.819019317626953,18.139999389648438,1.0,0
2016-10-13,39.25034713745117,29.322486877441406,16.690000534057617,1.0,0
2016-10-31,38.9943733215332,29.395288467407227,17.059999465942383,1.0,0
2016-11-01,38.57954406738281,29.276979446411133,18.559999465942383,1.0,0
2016-11-02,38.51777267456055,28.93115234375,19.31999969482422,1.0,0
2016-11-03,38.429500579833984,28.903852462768555,22.079999923706055,1.0,0
2016-11-04,38.394203186035156,28.867446899414062,22.510000228881836,1.0,0
2017-02-27,42.524436950683594,34.82563781738281,12.09000015258789,1.0,0
2017-02-28,42.54222869873047,34.551204681396484,12.920000076293945,1.0,0
2017-03-23,42.62220001220703,33.384456634521484,13.119999885559082,1.0,0
2017-04-10,42.59453201293945,34.37362289428711,14.050000190734863,1.0,0
2017-04-11,42.63916778564453,34.35530090332031,15.069999694824219,1.0,0
2017-04-12,42.585609436035156,33.915672302246094,15.770000457763672,1.0,0
2017-04-13,42.42494583129883,33.49436569213867,15.960000038146973,1.0,0
2017-05-17,42.781982421875,33.10968017578125,15.59000015258789,1.0,0
2017-07-06,43.57021713256836,34.159061431884766,12.539999961853027,1.0,0
2017-08-08,44.64690399169922,34.84114456176758,10.960000038146973,1.0,0
2017-08-09,44.700740814208984,34.71210479736328,11.109999656677246,1.0,0
2017-08-10,44.43156051635742,33.919410705566406,16.040000915527344,1.0,0
