,usmv,sphb,^VIX,hold_usmv
2012-04-04,22.69413185119629,18.705514907836914,16.440000534057617,1
2012-04-05,22.678062438964844,18.60993766784668,16.700000762939453,1
2012-04-09,22.517393112182617,18.253726959228516,18.809999465942383,1
2012-04-10,22.244264602661133,17.80195426940918,20.389999389648438,0
2012-04-11,22.372793197631836,18.019149780273438,20.020000457763672,0
2012-04-12,22.533464431762695,18.54913330078125,17.200000762939453,1
2012-04-13,22.420995712280273,18.132097244262695,19.549999237060547,1
2012-04-16,22.437061309814453,18.088659286499023,19.549999237060547,1
2012-04-17,22.73429298400879,18.436182022094727,18.459999084472656,1
2012-04-18,22.718225479125977,18.20159912109375,18.639999389648438,1
2012-04-19,22.533464431762695,18.166845321655273,18.360000610351562,1
2012-04-20,22.742334365844727,18.062591552734375,17.440000534057617,1
2012-04-23,22.573631286621094,17.828018188476562,18.969999313354492,1
2012-04-24,22.597732543945312,18.001773834228516,18.100000381469727,1
2012-04-25,22.81462287902832,18.288482666015625,16.81999969482422,1
2012-04-26,23.015460968017578,18.50568389892578,16.239999771118164,1
2012-04-27,23.063657760620117,18.514373779296875,16.31999969482422,1
2012-04-30,22.975299835205078,18.410118103027344,17.149999618530273,1
2012-05-01,23.119897842407227,18.618629455566406,16.600000381469727,1
2012-05-02,23.119897842407227,18.444869995117188,16.8799991607666,1
2012-05-03,23.039560317993164,18.088659286499023,17.559999465942383,1
2012-05-04,22.78249168395996,17.6716251373291,19.15999984741211,1
2012-05-07,22.80660057067871,17.636873245239258,18.940000534057617,1
2012-05-08,22.76643180847168,17.48048210144043,19.049999237060547,1
2012-05-09,22.670026779174805,17.437044143676758,20.079999923706055,0
2012-05-10,22.774459838867188,17.332786560058594,18.829999923706055,1
2012-05-11,22.790529251098633,17.2719669342041,19.889999389648438,1
2012-05-14,22.58970069885254,16.92444610595703,21.8700008392334,0
2012-05-15,22.573631286621094,16.655118942260742,21.969999313354492,0
2012-05-16,22.6218318939209,16.385784149169922,22.270000457763672,0
2012-05-17,22.27639389038086,16.0122013092041,24.489999771118164,0
2012-05-18,22.09965705871582,15.751557350158691,25.100000381469727,0
2012-05-21,22.308528900146484,16.22071075439453,22.010000228881836,0
2012-05-22,22.348697662353516,16.229394912719727,22.479999542236328,0
2012-05-23,22.420995712280273,16.29021453857422,22.329999923706055,0
2012-05-24,22.52542495727539,16.246776580810547,21.540000915527344,0
2012-05-25,22.49329948425293,16.264150619506836,21.760000228881836,0
2012-05-29,22.58970069885254,16.472667694091797,21.030000686645508,0
2012-05-30,22.477235794067383,16.08169937133789,24.139999389648438,0
2012-05-31,22.477235794067383,15.986129760742188,24.059999465942383,0
